node_id,x_over_c,y_over_c,x_m,y_m
1,1.0,0.00126,0.3,0.000378
2,0.999902,0.001274,0.299971,0.000382
3,0.99961,0.001315,0.299883,0.000394
4,0.999122,0.001383,0.299737,0.000415
5,0.998439,0.001479,0.299532,0.000444
6,0.997562,0.001602,0.299269,0.00048
7,0.996491,0.001751,0.298947,0.000525
8,0.995225,0.001928,0.298568,0.000578
9,0.993767,0.002131,0.29813,0.000639
10,0.992115,0.002361,0.297635,0.000708
11,0.990272,0.002617,0.297082,0.000785
12,0.988237,0.002899,0.296471,0.00087
13,0.986011,0.003206,0.295803,0.000962
14,0.983596,0.003538,0.295079,0.001062
15,0.980992,0.003896,0.294298,0.001169
16,0.9782,0.004278,0.29346,0.001283
17,0.975222,0.004684,0.292567,0.001405
18,0.972058,0.005114,0.291617,0.001534
19,0.96871,0.005567,0.290613,0.00167
20,0.965179,0.006043,0.289554,0.001813
21,0.961466,0.006541,0.28844,0.001962
22,0.957573,0.007061,0.287272,0.002118
23,0.953501,0.007602,0.28605,0.002281
24,0.949253,0.008164,0.284776,0.002449
25,0.944829,0.008746,0.283449,0.002624
26,0.940231,0.009348,0.282069,0.002804
27,0.935461,0.009969,0.280638,0.002991
28,0.930522,0.010608,0.279157,0.003182
29,0.925414,0.011265,0.277624,0.00338
30,0.920141,0.01194,0.276042,0.003582
31,0.914703,0.012631,0.274411,0.003789
32,0.909103,0.013338,0.272731,0.004001
33,0.903344,0.01406,0.271003,0.004218
34,0.897427,0.014797,0.269228,0.004439
35,0.891355,0.015548,0.267407,0.004664
36,0.885131,0.016313,0.265539,0.004894
37,0.878756,0.01709,0.263627,0.005127
38,0.872233,0.017879,0.26167,0.005364
39,0.865565,0.01868,0.259669,0.005604
40,0.858754,0.019492,0.257626,0.005848
41,0.851803,0.020314,0.255541,0.006094
42,0.844714,0.021145,0.253414,0.006343
43,0.837492,0.021985,0.251247,0.006595
44,0.830137,0.022833,0.249041,0.00685
45,0.822653,0.023688,0.246796,0.007106
46,0.815044,0.02455,0.244513,0.007365
47,0.807311,0.025418,0.242193,0.007625
48,0.799459,0.026291,0.239838,0.007887
49,0.79149,0.027169,0.237447,0.008151
50,0.783407,0.028051,0.235022,0.008415
51,0.775213,0.028936,0.232564,0.008681
52,0.766912,0.029823,0.230074,0.008947
53,0.758506,0.030713,0.227552,0.009214
54,0.75,0.031603,0.225,0.009481
55,0.741396,0.032494,0.222419,0.009748
56,0.732698,0.033384,0.219809,0.010015
57,0.723909,0.034273,0.217173,0.010282
58,0.715033,0.035161,0.21451,0.010548
59,0.706072,0.036046,0.211822,0.010814
60,0.697031,0.036927,0.209109,0.011078
61,0.687914,0.037805,0.206374,0.011341
62,0.678723,0.038677,0.203617,0.011603
63,0.669462,0.039544,0.200839,0.011863
64,0.660135,0.040405,0.19804,0.012121
