i,j,x_m,y_m,wall_distance_m
0,0,0.3,0,0
0,1,0.300003943,2.2464125e-20,3.9429525e-06
0,2,0.3000083,4.72697112e-20,8.29991945e-06
0,3,0.300013114,7.46663887e-20,1.31143728e-05
0,4,0.300018434,1.04926713e-19,1.84343492e-05
0,5,0.300024313,1.3835101e-19,2.43129291e-05
0,6,0.300030809,1.75270669e-19,3.08087665e-05
0,7,0.300037987,2.16051508e-19,3.79866741e-05
0,8,0.300045918,2.6109742e-19,4.59182701e-05
0,9,0.300054683,3.10854373e-19,5.46826925e-05
0,10,0.300064367,3.6581479e-19,6.43673892e-05
0,11,0.300075069,4.26522402e-19,7.50689899e-05
0,12,0.300086894,4.93577572e-19,8.68942707e-05
0,13,0.300099961,5.67643184e-19,9.99612193e-05
0,14,0.3001144,6.49451132e-19,0.000114400212
0,15,0.300130355,7.39809472e-19,0.000130355316
0,16,0.300147986,8.39610318e-19,0.000147985723
0,17,0.300167467,9.49838542e-19,0.000167467342
0,18,0.300188995,1.07158137e-18,0.000188994554
0,19,0.300212782,1.20603896e-18,0.000212782147
0,20,0.300239067,1.35453607e-18,0.000239067464
0,21,0.300268113,1.51853491e-18,0.000268112769
0,22,0.300300208,1.69964932e-18,0.000300207864
0,23,0.300335673,1.89966036e-18,0.000335672979
0,24,0.300374862,2.12053354e-18,0.000374861972
0,25,0.300418166,2.36443777e-18,0.000418165853
0,26,0.300466017,2.63376622e-18,0.00046601669
0,27,0.300518892,2.93115932e-18,0.000518891919
0,28,0.300577319,3.2595301e-18,0.000577319106
0,29,0.300641881,3.62209201e-18,0.000641881213
0,30,0.300713222,4.02238962e-18,0.000713222415
0,31,0.300792055,4.46433239e-18,0.000792054522
0,32,0.300879164,4.95223176e-18,0.00087916409
0,33,0.30097542,5.49084204e-18,0.00097542026
0,34,0.301081783,6.08540529e-18,0.00108178344
0,35,0.301199315,6.74170069e-18,0.00119931487
0,36,0.301329187,7.46609878e-18,0.00132918723
0,37,0.301472696,8.26562112e-18,0.00147269633
0,38,0.301631274,9.14800567e-18,0.00163127405
0,39,0.301806503,1.01217787e-17,0.00180650262
0,40,0.30200013,1.11963338e-17,0.00200013037
0,41,0.302214089,1.23820179e-17,0.00221408926
0,42,0.302450514,1.36902269e-17,0.00245051408
0,43,0.302711764,1.5133509e-17,0.00271176376
0,44,0.303000445,1.67256789e-17,0.00300044496
0,45,0.303319438,1.84819425e-17,0.003319438
0,46,0.303671926,2.04190334e-17,0.00367192568
0,47,0.304061425,2.25553622e-17,0.00406142495
0,48,0.304491822,2.49111794e-17,0.00449182209
0,49,0.304967411,2.75087538e-17,0.00496741141
0,50,0.305492938,3.03725672e-17,0.00549293814
0,51,0.306073646,3.35295258e-17,0.00607364577
0,52,0.306715328,3.7009192e-17,0.00671532836
0,53,0.307424388,4.08440353e-17,0.00742438834
0,54,0.3082079,4.50697063e-17,0.00820790041
0,55,0.309073682,4.97253335e-17,0.00907368213
0,56,0.310030372,5.48538457e-17,0.0100303719
0,57,0.311087515,6.0502321e-17,0.0110875152
0,58,0.31225566,6.67223653e-17,0.0122556597
0,59,0.313546461,7.35705199e-17,0.0135464607
0,60,0.314972797,8.11087018e-17,0.0149727972
0,61,0.316548901,8.94046778e-17,0.0165489007
0,62,0.318290497,9.85325732e-17,0.0182904969
0,63,0.320214963,1.08573417e-16,0.0202149625
0,64,0.322341499,1.19615726e-16,0.0223414993
0,65,0.324691325,1.31756124e-16,0.0246913248
0,66,0.327287885,1.45100001e-16,0.0272878846
0,67,0.330157086,1.59762216e-16,0.0301570861
0,68,0.333327557,1.75867826e-16,0.0333275569
0,69,0.336830931,1.9355286e-16,0.0368309308
0,70,0.340702163,2.12965123e-16,0.0407021629
0,71,0.344979879,2.34265024e-16,0.0449798787
0,72,0.349706759,2.57626432e-16,0.0497067595
0,73,0.354929968,2.83237541e-16,0.0549299681
0,74,0.360701619,3.11301737e-16,0.0607016194
0,75,0.367079301,3.42038459e-16,0.0670793006
0,76,0.374126646,3.75684027e-16,0.0741266455
0,77,0.38191397,4.12492415e-16,0.0819139696
0,78,0.390518971,4.52735954e-16,0.0905189714
0,79,0.400027508,4.96705912e-16,0.100027508
0,80,0.410534452,5.44712926e-16,0.110534452
0,81,0.422144636,5.97087221e-16,0.122144636
0,82,0.434973903,6.54178562e-16,0.134973903
0,83,0.449150258,7.16355862e-16,0.149150258
0,84,0.464815146,7.8400635e-16,0.164815146
0,85,0.482124864,8.575342e-16,0.182124864
0,86,0.501252123,9.37358474e-16,0.201252123
0,87,0.522387765,1.02391024e-15,0.222387765
0,88,0.545742673,1.11762864e-15,0.245742673
0,89,0.571549873,1.21895578e-15,0.271549873
0,90,0.600066857,1.32833001e-15,0.300066857
0,91,0.631578158,1.44617746e-15,0.331578158
0,92,0.66639818,1.57290136e-15,0.36639818
0,93,0.704874343,1.70886865e-15,0.404874343
0,94,0.747390547,1.8543935e-15,0.447390547
0,95,0.794371001,2.00971705e-15,0.494371001
0,96,0.846284454,2.17498256e-15,0.546284454
0,97,0.903648879,2.35020524e-15,0.603648879
0,98,0.967036633,2.53523571e-15,0.667036633
0,99,1.03708017,2.72971585e-15,0.737080172
0,100,1.11447836,2.93302567e-15,0.814478361
0,101,1.20000345,3.14421963e-15,0.900003448
0,102,1.29450876,3.36195033e-15,0.994508764
0,103,1.39893724,3.58437748e-15,1.09893724
0,104,1.51433083,3.80905928e-15,1.21433083
0,105,1.64184088,4.03282339e-15,1.34184088
0,106,1.78273962,4.25161359e-15,1.48273962
0,107,1.93843289,4.46030796e-15,1.63843289
0,108,2.11047413,4.65250359e-15,1.81047413
0,109,2.30057989,4.8202621e-15,2.00057989
0,110,2.51064697,4.95380886e-15,2.21064697
0,111,2.74277133,5.04117819e-15,2.44277133
0,112,2.99926901,5.06779518e-15,2.69926901
0,113,3.28269923,5.01598308e-15,2.98269923
0,114,3.59588995,4.86438376e-15,3.29588995
0,115,3.94196604,4.58727621e-15,3.64196604
0,116,4.32438051,4.1537759e-15,4.02438051
0,117,4.74694893,3.52689469e-15,4.44694893
0,118,5.21388751,2.66243777e-15,4.91388751
0,119,5.72985516,1.50771003e-15,5.42985516
0,120,6.3,1.31798698e-27,6
1,0,0.299954394,0.000384475558,0
1,1,0.299956093,0.000388033294,3.9429525e-06
1,2,0.299957974,0.00039196343,8.29991945e-06
1,3,0.299960054,0.000396305319,1.31143728e-05
1,4,0.299962355,0.000401102229,1.84343492e-05
1,5,0.299964899,0.000406401913,2.43129291e-05
1,6,0.299967711,0.000412257104,3.08087665e-05
1,7,0.299970822,0.000418726049,3.79866741e-05
1,8,0.299974261,0.000425873088,4.59182701e-05
1,9,0.299978065,0.000433769293,5.46826925e-05
1,10,0.29998227,0.000442493172,6.43673892e-05
1,11,0.299986921,0.000452131453,7.50689899e-05
1,12,0.299992064,0.000462779934,8.68942707e-05
1,13,0.299997751,0.000474544439,9.99612193e-05
1,14,0.30000404,0.00048754186,0.000114400212
1,15,0.300010995,0.000501901319,0.000130355316
1,16,0.300018687,0.000517765438,0.000147985723
1,17,0.300027193,0.000535291749,0.000167467342
1,18,0.300036602,0.000554654256,0.000188994554
1,19,0.300047007,0.000576045143,0.000212782147
1,20,0.300058517,0.000599676676,0.000239067464
1,21,0.300071248,0.000625783294,0.000268112769
1,22,0.300085331,0.000654623915,0.000300207864
