metric,value
topology,"O-grid (body-fitted, no wake cut)"
i_nodes_wrap,257
j_nodes_normal,121
total_nodes,31097
total_cells,30720
farfield_radius_chords,20.0
first_cell_height_y1_chords,1.31e-05
first_cell_height_y1_m,3.94e-06
wall_normal_growth_ratio,1.105
target_yplus,1.0
max_aspect_ratio,951.9
mean_aspect_ratio,57.4
pct_cells_aspect_ratio_gt_1000,0.0
min_orthogonality_deg,32.3
max_skewness,0.642
mean_skewness,0.053
pct_cells_skewness_gt_0.5,1.204
min_cell_area_c2,2.02e-09
inverted_cells,0
wall_spacing_at_LE_chords,0.000154
wall_spacing_at_TE_chords,0.00129
