layer_j,normal_coord_chords,layer_spacing_chords,normal_coord_m
0,0.0,,0.0
1,1.3e-05,1.31e-05,4e-06
2,2.8e-05,1.45e-05,8e-06
3,4.4e-05,1.6e-05,1.3e-05
4,6.1e-05,1.77e-05,1.8e-05
5,8.1e-05,1.96e-05,2.4e-05
6,0.000103,2.17e-05,3.1e-05
7,0.000127,2.39e-05,3.8e-05
8,0.000153,2.64e-05,4.6e-05
9,0.000182,2.92e-05,5.5e-05
10,0.000215,3.23e-05,6.4e-05
11,0.00025,3.57e-05,7.5e-05
12,0.00029,3.94e-05,8.7e-05
13,0.000333,4.36e-05,0.0001
14,0.000381,4.81e-05,0.000114
15,0.000435,5.32e-05,0.00013
16,0.000493,5.88e-05,0.000148
17,0.000558,6.49e-05,0.000167
18,0.00063,7.18e-05,0.000189
19,0.000709,7.93e-05,0.000213
20,0.000797,8.76e-05,0.000239
21,0.000894,9.68e-05,0.000268
22,0.001001,0.000107,0.0003
23,0.001119,0.0001182,0.000336
24,0.00125,0.0001306,0.000375
25,0.001394,0.0001443,0.000418
26,0.001553,0.0001595,0.000466
27,0.00173,0.0001763,0.000519
28,0.001924,0.0001948,0.000577
29,0.00214,0.0002152,0.000642
30,0.002377,0.0002378,0.000713
31,0.00264,0.0002628,0.000792
32,0.002931,0.0002904,0.000879
33,0.003251,0.0003209,0.000975
34,0.003606,0.0003545,0.001082
35,0.003998,0.0003918,0.001199
36,0.004431,0.0004329,0.001329
37,0.004909,0.0004784,0.001473
38,0.005438,0.0005286,0.001631
39,0.006022,0.0005841,0.001807
40,0.006667,0.0006454,0.002
41,0.00738,0.0007132,0.002214
42,0.008168,0.0007881,0.002451
43,0.009039,0.0008708,0.002712
44,0.010001,0.0009623,0.003
45,0.011065,0.0010633,0.003319
46,0.01224,0.001175,0.003672
47,0.013538,0.0012983,0.004061
48,0.014973,0.0014347,0.004492
49,0.016558,0.0015853,0.004967
50,0.01831,0.0017518,0.005493
51,0.020245,0.0019357,0.006074
52,0.022384,0.0021389,0.006715
53,0.024748,0.0023635,0.007424
54,0.02736,0.0026117,0.008208
55,0.030246,0.0028859,0.009074
56,0.033435,0.003189,0.01003
57,0.036958,0.0035238,0.011088
58,0.040852,0.0038938,0.012256
59,0.045155,0.0043027,0.013546
60,0.049909,0.0047545,0.014973
61,0.055163,0.0052537,0.016549
62,0.060968,0.0058053,0.01829
63,0.067383,0.0064149,0.020215
64,0.074472,0.0070885,0.022341
65,0.082304,0.0078328,0.024691
66,0.09096,0.0086552,0.027288
67,0.100524,0.009564,0.030157
68,0.111092,0.0105682,0.033328
69,0.12277,0.0116779,0.036831
70,0.135674,0.0129041,0.040702
71,0.149933,0.0142591,0.04498
72,0.165689,0.0157563,0.049707
73,0.1831,0.0174107,0.05493
74,0.202339,0.0192388,0.060702
75,0.223598,0.0212589,0.067079
76,0.247089,0.0234911,0.074127
77,0.273047,0.0259577,0.081914
78,0.30173,0.0286833,0.090519
79,0.333425,0.0316951,0.100028
80,0.368448,0.0350231,0.110534
81,0.407149,0.0387006,0.122145
82,0.449913,0.0427642,0.134974
83,0.497168,0.0472545,0.14915
84,0.549384,0.0522163,0.164815
85,0.607083,0.0576991,0.182125
86,0.67084,0.0637575,0.201252
87,0.741293,0.0704521,0.222388
88,0.819142,0.0778497,0.245743
89,0.905166,0.086024,0.27155
90,1.000223,0.0950566,0.300067
91,1.105261,0.1050377,0.331578
92,1.221327,0.1160667,0.366398
93,1.349581,0.1282539,0.404874
94,1.491302,0.1417207,0.447391
95,1.647903,0.1566015,0.494371
96,1.820948,0.1730448,0.546284
97,2.012163,0.1912147,0.603649
98,2.223455,0.2112925,0.667037
99,2.456934,0.2334785,0.73708
100,2.714928,0.257994,0.814478
101,3.000011,0.2850836,0.900003
102,3.315029,0.3150177,0.994509
103,3.663124,0.3480949,1.098937
104,4.047769,0.3846453,1.214331
105,4.472803,0.4250335,1.341841
106,4.942465,0.4696625,1.48274
107,5.461443,0.5189776,1.638433
108,6.034914,0.5734708,1.810474
109,6.6686,0.6336859,2.00058
110,7.368823,0.7002236,2.210647
111,8.142571,0.7737479,2.442771
112,8.997563,0.8549923,2.699269
113,9.942331,0.9447674,2.982699
114,10.9863,1.043969,3.29589
115,12.139887,1.153587,3.641966
116,13.414602,1.2747149,4.024381
117,14.823163,1.4085614,4.446949
118,16.379625,1.5564619,4.913888
119,18.099517,1.7198922,5.429855
120,20.0,1.9004828,6.0
