property,value,units,note
air_gamma,1.4,-,ratio of specific heats
air_gas_constant_R,287.05,J/kg/K,specific gas constant
air_cp,1004.5,J/kg/K,specific heat const. pressure
air_Prandtl_Pr,0.72,-,Prandtl number
recovery_factor_r,0.892,-,"turbulent, r=Pr^(1/3)"
sutherland_C1,1.458e-06,kg/m/s/K^0.5,Sutherland viscosity const
sutherland_S,110.4,K,Sutherland temperature
blade_skin_material,Al-2024-T3,-,blade skin
blade_skin_k_thermal,121.0,W/m/K,thermal conductivity
blade_skin_density,2780.0,kg/m^3,density
blade_skin_cp,875.0,J/kg/K,specific heat
blade_emissivity,0.85,-,painted surface
