x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
-0.527,-0.6324,85.453,31.308,91.007,0.0817,287.867,291.561,0.2676,-0.1
-0.51978,-0.6324,85.39,31.302,90.946,0.0829,287.872,291.562,0.2674,-0.04
-0.51256,-0.6324,85.327,31.294,90.884,0.0842,287.878,291.562,0.2672,-0.04
-0.50534,-0.6324,85.263,31.286,90.821,0.0855,287.884,291.563,0.267,-0.04
-0.49812,-0.6324,85.198,31.276,90.758,0.0867,287.889,291.564,0.2668,-0.04
-0.4909,-0.6324,85.133,31.266,90.693,0.088,287.895,291.564,0.2666,-0.04
-0.48368,-0.6324,85.068,31.255,90.628,0.0893,287.901,291.565,0.2664,-0.04
-0.47647,-0.6324,85.002,31.243,90.562,0.0907,287.907,291.565,0.2662,-0.04
-0.46925,-0.6324,84.936,31.229,90.495,0.092,287.913,291.566,0.266,-0.04
-0.46203,-0.6324,84.869,31.215,90.427,0.0934,287.919,291.567,0.2658,-0.03
-0.45481,-0.6324,84.801,31.2,90.359,0.0948,287.925,291.567,0.2656,-0.03
-0.44759,-0.6324,84.733,31.184,90.289,0.0961,287.932,291.568,0.2654,-0.03
-0.44037,-0.6324,84.665,31.167,90.219,0.0975,287.938,291.569,0.2652,-0.03
-0.43315,-0.6324,84.596,31.148,90.148,0.099,287.944,291.569,0.265,-0.03
-0.42593,-0.6324,84.527,31.129,90.076,0.1004,287.951,291.57,0.2648,-0.03
-0.41871,-0.6324,84.457,31.108,90.004,0.1019,287.957,291.571,0.2646,-0.03
-0.41149,-0.6324,84.387,31.086,89.93,0.1033,287.964,291.571,0.2644,-0.03
-0.40427,-0.6324,84.316,31.063,89.856,0.1048,287.97,291.572,0.2641,-0.02
-0.39705,-0.6324,84.246,31.038,89.781,0.1063,287.977,291.573,0.2639,-0.02
-0.38984,-0.6324,84.175,31.013,89.706,0.1078,287.984,291.573,0.2637,-0.02
-0.38262,-0.6324,84.103,30.986,89.63,0.1093,287.991,291.574,0.2635,-0.02
-0.3754,-0.6324,84.031,30.958,89.553,0.1108,287.998,291.575,0.2632,-0.02
-0.36818,-0.6324,83.959,30.928,89.475,0.1124,288.004,291.576,0.263,-0.02
-0.36096,-0.6324,83.887,30.897,89.396,0.1139,288.011,291.576,0.2628,-0.01
-0.35374,-0.6324,83.815,30.865,89.317,0.1155,288.018,291.577,0.2625,-0.01
-0.34652,-0.6324,83.742,30.831,89.238,0.1171,288.026,291.578,0.2623,-0.01
-0.3393,-0.6324,83.67,30.796,89.157,0.1187,288.033,291.578,0.2621,-0.01
-0.33208,-0.6324,83.597,30.759,89.076,0.1203,288.04,291.579,0.2618,-0.0
-0.32486,-0.6324,83.524,30.721,88.995,0.1219,288.047,291.58,0.2616,-0.0
-0.31764,-0.6324,83.451,30.682,88.913,0.1235,288.054,291.581,0.2613,0.0
-0.31042,-0.6324,83.378,30.641,88.83,0.1251,288.062,291.581,0.2611,0.0
-0.30321,-0.6324,83.306,30.598,88.747,0.1268,288.069,291.582,0.2608,0.01
-0.29599,-0.6324,83.233,30.554,88.664,0.1284,288.076,291.583,0.2606,0.01
-0.28877,-0.6324,83.16,30.508,88.58,0.13,288.084,291.584,0.2603,0.01
-0.28155,-0.6324,83.088,30.461,88.495,0.1317,288.091,291.585,0.2601,0.02
-0.27433,-0.6324,83.015,30.412,88.411,0.1334,288.099,291.585,0.2598,0.02
-0.26711,-0.6324,82.943,30.361,88.326,0.135,288.106,291.586,0.2596,0.02
-0.25989,-0.6324,82.872,30.309,88.24,0.1367,288.114,291.587,0.2593,0.03
