x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
-0.527,-0.6324,87.16,29.529,92.027,0.061,287.774,291.552,0.2706,-0.07
-0.51978,-0.6324,87.117,29.52,91.983,0.0619,287.778,291.552,0.2705,-0.03
-0.51256,-0.6324,87.074,29.511,91.939,0.0628,287.782,291.552,0.2703,-0.03
-0.50534,-0.6324,87.03,29.5,91.894,0.0637,287.786,291.553,0.2702,-0.02
-0.49812,-0.6324,86.986,29.489,91.849,0.0646,287.79,291.553,0.2701,-0.02
-0.4909,-0.6324,86.942,29.478,91.803,0.0656,287.794,291.554,0.2699,-0.02
-0.48368,-0.6324,86.897,29.465,91.757,0.0665,287.799,291.554,0.2698,-0.02
-0.47647,-0.6324,86.852,29.452,91.71,0.0675,287.803,291.555,0.2697,-0.02
-0.46925,-0.6324,86.807,29.439,91.663,0.0684,287.807,291.555,0.2695,-0.02
-0.46203,-0.6324,86.761,29.424,91.615,0.0694,287.812,291.556,0.2694,-0.02
-0.45481,-0.6324,86.715,29.408,91.567,0.0704,287.816,291.556,0.2692,-0.02
-0.44759,-0.6324,86.669,29.392,91.518,0.0714,287.82,291.556,0.2691,-0.02
-0.44037,-0.6324,86.623,29.375,91.468,0.0724,287.825,291.557,0.2689,-0.02
-0.43315,-0.6324,86.577,29.357,91.419,0.0734,287.829,291.557,0.2688,-0.02
-0.42593,-0.6324,86.53,29.338,91.368,0.0744,287.834,291.558,0.2686,-0.02
-0.41871,-0.6324,86.483,29.319,91.317,0.0754,287.839,291.558,0.2685,-0.01
-0.41149,-0.6324,86.436,29.298,91.266,0.0765,287.843,291.559,0.2683,-0.01
-0.40427,-0.6324,86.388,29.277,91.215,0.0775,287.848,291.559,0.2682,-0.01
-0.39705,-0.6324,86.341,29.254,91.162,0.0786,287.853,291.56,0.268,-0.01
-0.38984,-0.6324,86.294,29.231,91.11,0.0796,287.858,291.56,0.2679,-0.01
-0.38262,-0.6324,86.246,29.207,91.057,0.0807,287.862,291.561,0.2677,-0.01
-0.3754,-0.6324,86.198,29.181,91.004,0.0818,287.867,291.561,0.2676,-0.01
-0.36818,-0.6324,86.15,29.155,90.95,0.0829,287.872,291.562,0.2674,-0.0
-0.36096,-0.6324,86.103,29.128,90.896,0.084,287.877,291.562,0.2672,-0.0
-0.35374,-0.6324,86.055,29.099,90.842,0.085,287.882,291.563,0.2671,-0.0
-0.34652,-0.6324,86.007,29.07,90.787,0.0862,287.887,291.563,0.2669,0.0
-0.3393,-0.6324,85.959,29.039,90.732,0.0873,287.892,291.564,0.2667,0.0
-0.33208,-0.6324,85.912,29.008,90.677,0.0884,287.897,291.564,0.2666,0.01
-0.32486,-0.6324,85.864,28.975,90.621,0.0895,287.902,291.565,0.2664,0.01
-0.31764,-0.6324,85.817,28.941,90.566,0.0906,287.907,291.565,0.2663,0.01
-0.31042,-0.6324,85.77,28.906,90.51,0.0917,287.912,291.566,0.2661,0.01
-0.30321,-0.6324,85.723,28.87,90.454,0.0929,287.917,291.566,0.2659,0.01
-0.29599,-0.6324,85.676,28.833,90.397,0.094,287.922,291.567,0.2658,0.02
-0.28877,-0.6324,85.629,28.795,90.341,0.0951,287.927,291.567,0.2656,0.02
-0.28155,-0.6324,85.583,28.755,90.285,0.0962,287.932,291.568,0.2654,0.02
-0.27433,-0.6324,85.537,28.715,90.228,0.0974,287.937,291.569,0.2652,0.02
-0.26711,-0.6324,85.491,28.673,90.172,0.0985,287.942,291.569,0.2651,0.03
-0.25989,-0.6324,85.446,28.63,90.115,0.0996,287.947,291.57,0.2649,0.03
-0.25267,-0.6324,85.401,28.586,90.059,0.1008,287.952,291.57,0.2647,0.03
-0.24545,-0.6324,85.357,28.54,90.002,0.1019,287.957,291.571,0.2646,0.04
-0.23823,-0.6324,85.313,28.494,89.946,0.103,287.962,291.571,0.2644,0.04
-0.23101,-0.6324,85.27,28.446,89.89,0.1041,287.967,291.572,0.2642,0.04
-0.22379,-0.6324,85.228,28.398,89.834,0.1052,287.972,291.572,0.2641,0.04
-0.21658,-0.6324,85.186,28.348,89.778,0.1063,287.977,291.573,0.2639,0.05
-0.20936,-0.6324,85.144,28.296,89.723,0.1074,287.982,291.573,0.2637,0.05
-0.20214,-0.6324,85.104,28.244,89.668,0.1085,287.987,291.574,0.2636,0.05
-0.19492,-0.6324,85.064,28.191,89.613,0.1096,287.992,291.574,0.2634,0.06
-0.1877,-0.6324,85.025,28.136,89.559,0.1107,287.997,291.575,0.2633,0.06
-0.18048,-0.6324,84.987,28.08,89.505,0.1118,288.002,291.575,0.2631,0.06
-0.17326,-0.6324,84.949,28.024,89.452,0.1128,288.006,291.576,0.2629,0.07
-0.16604,-0.6324,84.913,27.966,89.4,0.1139,288.011,291.576,0.2628,0.07
-0.15882,-0.6324,84.877,27.907,89.347,0.1149,288.016,291.577,0.2626,0.07
-0.1516,-0.6324,84.843,27.847,89.296,0.1159,288.02,291.577,0.2625,0.07
-0.14438,-0.6324,84.809,27.786,89.245,0.1169,288.025,291.578,0.2623,0.08
-0.13716,-0.6324,84.777,27.724,89.195,0.1179,288.029,291.578,0.2622,0.08
-0.12995,-0.6324,84.746,27.661,89.146,0.1189,288.034,291.579,0.262,0.08
-0.12273,-0.6324,84.716,27.597,89.098,0.1198,288.038,291.579,0.2619,0.09
-0.11551,-0.6324,84.687,27.532,89.05,0.1208,288.042,291.579,0.2617,0.09
-0.10829,-0.6324,84.659,27.466,89.003,0.1217,288.046,291.58,0.2616,0.09
-0.10107,-0.6324,84.633,27.4,88.958,0.1226,288.05,291.58,0.2615,0.09
-0.09385,-0.6324,84.608,27.332,88.913,0.1235,288.054,291.581,0.2613,0.1
-0.08663,-0.6324,84.584,27.264,88.87,0.1243,288.058,291.581,0.2612,0.1
-0.07941,-0.6324,84.562,27.195,88.827,0.1252,288.062,291.581,0.2611,0.1
-0.07219,-0.6324,84.541,27.126,88.786,0.126,288.066,291.582,0.2609,0.1
-0.06497,-0.6324,84.521,27.055,88.746,0.1268,288.069,291.582,0.2608,0.11
-0.05775,-0.6324,84.503,26.984,88.707,0.1275,288.073,291.583,0.2607,0.11
-0.05053,-0.6324,84.487,26.913,88.67,0.1283,288.076,291.583,0.2606,0.11
-0.04332,-0.6324,84.472,26.841,88.634,0.129,288.079,291.583,0.2605,0.11
-0.0361,-0.6324,84.458,26.768,88.599,0.1297,288.082,291.584,0.2604,0.11
-0.02888,-0.6324,84.446,26.695,88.565,0.1303,288.085,291.584,0.2603,0.11
-0.02166,-0.6324,84.436,26.622,88.533,0.131,288.088,291.584,0.2602,0.11
-0.01444,-0.6324,84.427,26.548,88.503,0.1316,288.091,291.584,0.2601,0.12
-0.00722,-0.6324,84.42,26.474,88.474,0.1321,288.093,291.585,0.26,0.12
0.0,-0.6324,84.414,26.4,88.446,0.1327,288.096,291.585,0.2599,0.12
0.00722,-0.6324,84.41,26.326,88.42,0.1332,288.098,291.585,0.2599,0.12
0.01444,-0.6324,84.408,26.251,88.396,0.1337,288.1,291.585,0.2598,0.12
0.02166,-0.6324,84.407,26.177,88.373,0.1341,288.102,291.586,0.2597,0.12
0.02888,-0.6324,84.408,26.102,88.352,0.1345,288.104,291.586,0.2597,0.12
0.0361,-0.6324,84.411,26.028,88.332,0.1349,288.106,291.586,0.2596,0.12
0.04332,-0.6324,84.415,25.953,88.315,0.1352,288.107,291.586,0.2595,0.12
0.05053,-0.6324,84.421,25.879,88.298,0.1356,288.109,291.586,0.2595,0.12
0.05775,-0.6324,84.428,25.805,88.284,0.1359,288.11,291.586,0.2595,0.12
0.06497,-0.6324,84.437,25.731,88.271,0.1361,288.111,291.587,0.2594,0.12
0.07219,-0.6324,84.448,25.657,88.26,0.1363,288.112,291.587,0.2594,0.11
0.07941,-0.6324,84.46,25.584,88.25,0.1365,288.113,291.587,0.2594,0.11
0.08663,-0.6324,84.474,25.511,88.243,0.1367,288.113,291.587,0.2593,0.11
0.09385,-0.6324,84.49,25.439,88.237,0.1368,288.114,291.587,0.2593,0.11
0.10107,-0.6324,84.507,25.367,88.232,0.1369,288.114,291.587,0.2593,0.11
0.10829,-0.6324,84.525,25.296,88.229,0.1369,288.115,291.587,0.2593,0.11
0.11551,-0.6324,84.545,25.225,88.228,0.1369,288.115,291.587,0.2593,0.11
0.12273,-0.6324,84.567,25.155,88.229,0.1369,288.115,291.587,0.2593,0.1
0.12995,-0.6324,84.59,25.086,88.231,0.1369,288.114,291.587,0.2593,0.1
0.13716,-0.6324,84.614,25.018,88.235,0.1368,288.114,291.587,0.2593,0.1
0.14438,-0.6324,84.64,24.95,88.241,0.1367,288.114,291.587,0.2593,0.1
0.1516,-0.6324,84.667,24.883,88.248,0.1366,288.113,291.587,0.2593,0.09
0.15882,-0.6324,84.695,24.817,88.256,0.1364,288.112,291.587,0.2594,0.09
0.16604,-0.6324,84.725,24.752,88.267,0.1362,288.111,291.587,0.2594,0.09
0.17326,-0.6324,84.756,24.688,88.278,0.136,288.11,291.587,0.2594,0.09
0.18048,-0.6324,84.788,24.624,88.292,0.1357,288.109,291.586,0.2595,0.08
0.1877,-0.6324,84.822,24.562,88.306,0.1354,288.108,291.586,0.2595,0.08
0.19492,-0.6324,84.856,24.501,88.322,0.1351,288.106,291.586,0.2596,0.08
0.20214,-0.6324,84.892,24.441,88.34,0.1348,288.105,291.586,0.2596,0.07
0.20936,-0.6324,84.928,24.382,88.359,0.1344,288.103,291.586,0.2597,0.07
0.21658,-0.6324,84.966,24.324,88.379,0.134,288.101,291.586,0.2597,0.07
0.22379,-0.6324,85.004,24.267,88.4,0.1336,288.1,291.585,0.2598,0.06
0.23101,-0.6324,85.044,24.211,88.423,0.1331,288.098,291.585,0.2599,0.06
0.23823,-0.6324,85.084,24.157,88.447,0.1327,288.096,291.585,0.2599,0.06
0.24545,-0.6324,85.125,24.103,88.472,0.1322,288.093,291.585,0.26,0.05
0.25267,-0.6324,85.167,24.051,88.498,0.1317,288.091,291.585,0.2601,0.05
0.25989,-0.6324,85.21,24.0,88.525,0.1311,288.089,291.584,0.2602,0.05
0.26711,-0.6324,85.253,23.951,88.553,0.1306,288.086,291.584,0.2603,0.04
0.27433,-0.6324,85.297,23.902,88.583,0.13,288.084,291.584,0.2603,0.04
0.28155,-0.6324,85.342,23.855,88.613,0.1294,288.081,291.583,0.2604,0.04
0.28877,-0.6324,85.387,23.809,88.644,0.1288,288.078,291.583,0.2605,0.03
0.29599,-0.6324,85.433,23.764,88.676,0.1282,288.075,291.583,0.2606,0.03
0.30321,-0.6324,85.479,23.721,88.709,0.1275,288.072,291.583,0.2607,0.03
0.31042,-0.6324,85.525,23.678,88.743,0.1268,288.069,291.582,0.2608,0.03
0.31764,-0.6324,85.572,23.637,88.777,0.1262,288.066,291.582,0.2609,0.02
0.32486,-0.6324,85.62,23.598,88.812,0.1255,288.063,291.582,0.261,0.02
0.33208,-0.6324,85.668,23.559,88.848,0.1248,288.06,291.581,0.2611,0.02
0.3393,-0.6324,85.715,23.522,88.884,0.1241,288.057,291.581,0.2612,0.01
0.34652,-0.6324,85.764,23.486,88.921,0.1233,288.054,291.581,0.2614,0.01
0.35374,-0.6324,85.812,23.451,88.959,0.1226,288.05,291.58,0.2615,0.01
0.36096,-0.6324,85.861,23.417,88.997,0.1218,288.047,291.58,0.2616,0.01
0.36818,-0.6324,85.909,23.385,89.035,0.1211,288.044,291.58,0.2617,0.0
0.3754,-0.6324,85.958,23.354,89.074,0.1203,288.04,291.579,0.2618,0.0
0.38262,-0.6324,86.007,23.323,89.113,0.1195,288.037,291.579,0.2619,-0.0
0.38984,-0.6324,86.056,23.294,89.153,0.1188,288.033,291.579,0.262,-0.0
0.39705,-0.6324,86.105,23.267,89.193,0.118,288.03,291.578,0.2622,-0.01
0.40427,-0.6324,86.153,23.24,89.233,0.1172,288.026,291.578,0.2623,-0.01
0.41149,-0.6324,86.202,23.214,89.273,0.1164,288.022,291.577,0.2624,-0.01
0.41871,-0.6324,86.251,23.19,89.314,0.1156,288.019,291.577,0.2625,-0.01
0.42593,-0.6324,86.299,23.166,89.354,0.1148,288.015,291.577,0.2626,-0.01
0.43315,-0.6324,86.348,23.144,89.395,0.114,288.012,291.576,0.2628,-0.02
0.44037,-0.6324,86.396,23.122,89.436,0.1131,288.008,291.576,0.2629,-0.02
0.44759,-0.6324,86.444,23.102,89.477,0.1123,288.004,291.576,0.263,-0.02
0.45481,-0.6324,86.491,23.082,89.519,0.1115,288.001,291.575,0.2631,-0.02
0.46203,-0.6324,86.539,23.064,89.56,0.1107,287.997,291.575,0.2633,-0.02
0.46925,-0.6324,86.586,23.046,89.601,0.1099,287.993,291.574,0.2634,-0.02
0.47647,-0.6324,86.633,23.03,89.642,0.1091,287.99,291.574,0.2635,-0.02
0.48368,-0.6324,86.68,23.014,89.683,0.1082,287.986,291.574,0.2636,-0.03
0.4909,-0.6324,86.726,22.999,89.724,0.1074,287.982,291.573,0.2637,-0.03
0.49812,-0.6324,86.772,22.985,89.765,0.1066,287.979,291.573,0.2639,-0.03
0.50534,-0.6324,86.818,22.972,89.806,0.1058,287.975,291.572,0.264,-0.03
0.51256,-0.6324,86.863,22.959,89.846,0.105,287.971,291.572,0.2641,-0.03
0.51978,-0.6324,86.908,22.947,89.887,0.1042,287.968,291.572,0.2642,-0.03
0.527,-0.6324,86.953,22.937,89.927,0.1034,287.964,291.571,0.2644,-0.03
0.53422,-0.6324,86.997,22.926,89.968,0.1026,287.96,291.571,0.2645,-0.03
0.54144,-0.6324,87.041,22.917,90.007,0.1018,287.957,291.571,0.2646,-0.03
0.54866,-0.6324,87.085,22.908,90.047,0.101,287.953,291.57,0.2647,-0.03
0.55588,-0.6324,87.128,22.9,90.087,0.1002,287.95,291.57,0.2648,-0.03
0.5631,-0.6324,87.17,22.892,90.126,0.0994,287.946,291.57,0.2649,-0.03
0.57032,-0.6324,87.212,22.886,90.165,0.0986,287.943,291.569,0.2651,-0.03
0.57753,-0.6324,87.254,22.879,90.204,0.0979,287.939,291.569,0.2652,-0.03
0.58475,-0.6324,87.295,22.874,90.242,0.0971,287.936,291.568,0.2653,-0.03
0.59197,-0.6324,87.336,22.868,90.281,0.0963,287.932,291.568,0.2654,-0.03
0.59919,-0.6324,87.377,22.864,90.319,0.0956,287.929,291.568,0.2655,-0.03
0.60641,-0.6324,87.417,22.86,90.356,0.0948,287.926,291.567,0.2656,-0.03
0.61363,-0.6324,87.456,22.856,90.394,0.0941,287.922,291.567,0.2657,-0.03
0.62085,-0.6324,87.495,22.853,90.431,0.0933,287.919,291.567,0.2659,-0.03
0.62807,-0.6324,87.534,22.851,90.467,0.0926,287.916,291.566,0.266,-0.03
0.63529,-0.6324,87.572,22.848,90.504,0.0918,287.912,291.566,0.2661,-0.03
0.64251,-0.6324,87.61,22.847,90.54,0.0911,287.909,291.566,0.2662,-0.03
0.64973,-0.6324,87.647,22.845,90.576,0.0904,287.906,291.565,0.2663,-0.03
0.65695,-0.6324,87.684,22.844,90.611,0.0897,287.903,291.565,0.2664,-0.03
0.66416,-0.6324,87.721,22.844,90.646,0.089,287.899,291.565,0.2665,-0.03
0.67138,-0.6324,87.757,22.844,90.681,0.0883,287.896,291.564,0.2666,-0.03
0.6786,-0.6324,87.792,22.844,90.716,0.0876,287.893,291.564,0.2667,-0.03
0.68582,-0.6324,87.827,22.844,90.75,0.0869,287.89,291.564,0.2668,-0.03
