x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
-0.527,-0.6324,85.905,35.07,92.788,0.0645,287.722,291.545,0.2729,-0.09
-0.51978,-0.6324,85.856,35.061,92.739,0.0655,287.727,291.546,0.2727,-0.04
-0.51256,-0.6324,85.806,35.052,92.689,0.0666,287.732,291.546,0.2726,-0.04
-0.50534,-0.6324,85.755,35.043,92.639,0.0676,287.736,291.547,0.2724,-0.04
-0.49812,-0.6324,85.704,35.032,92.588,0.0687,287.741,291.547,0.2723,-0.04
-0.4909,-0.6324,85.653,35.021,92.536,0.0698,287.746,291.548,0.2721,-0.04
-0.48368,-0.6324,85.601,35.009,92.483,0.0709,287.751,291.548,0.272,-0.04
-0.47647,-0.6324,85.549,34.996,92.43,0.072,287.755,291.549,0.2718,-0.04
-0.46925,-0.6324,85.496,34.983,92.376,0.0731,287.76,291.549,0.2716,-0.04
-0.46203,-0.6324,85.443,34.968,92.322,0.0743,287.765,291.55,0.2715,-0.04
-0.45481,-0.6324,85.39,34.953,92.267,0.0754,287.771,291.55,0.2713,-0.04
-0.44759,-0.6324,85.336,34.937,92.211,0.0766,287.776,291.551,0.2712,-0.04
-0.44037,-0.6324,85.282,34.919,92.154,0.0778,287.781,291.551,0.271,-0.04
-0.43315,-0.6324,85.228,34.901,92.097,0.079,287.786,291.552,0.2708,-0.04
-0.42593,-0.6324,85.173,34.882,92.039,0.0802,287.791,291.553,0.2706,-0.04
-0.41871,-0.6324,85.118,34.862,91.981,0.0814,287.797,291.553,0.2705,-0.04
-0.41149,-0.6324,85.063,34.841,91.922,0.0826,287.802,291.554,0.2703,-0.04
-0.40427,-0.6324,85.007,34.819,91.862,0.0839,287.808,291.554,0.2701,-0.04
-0.39705,-0.6324,84.952,34.796,91.802,0.0852,287.813,291.555,0.2699,-0.04
-0.38984,-0.6324,84.896,34.772,91.741,0.0864,287.819,291.556,0.2697,-0.03
-0.38262,-0.6324,84.839,34.746,91.679,0.0877,287.824,291.556,0.2696,-0.03
-0.3754,-0.6324,84.783,34.72,91.617,0.089,287.83,291.557,0.2694,-0.03
-0.36818,-0.6324,84.726,34.693,91.554,0.0903,287.836,291.557,0.2692,-0.03
-0.36096,-0.6324,84.67,34.664,91.491,0.0916,287.841,291.558,0.269,-0.03
-0.35374,-0.6324,84.613,34.634,91.427,0.0929,287.847,291.559,0.2688,-0.03
-0.34652,-0.6324,84.556,34.603,91.362,0.0943,287.853,291.559,0.2686,-0.03
-0.3393,-0.6324,84.499,34.571,91.297,0.0956,287.859,291.56,0.2684,-0.03
