x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
-0.527,-0.6324,87.348,30.492,92.517,0.0702,287.747,291.548,0.2721,-0.1
-0.51978,-0.6324,87.297,30.485,92.467,0.0712,287.752,291.548,0.2719,-0.05
-0.51256,-0.6324,87.246,30.478,92.416,0.0723,287.757,291.549,0.2718,-0.05
-0.50534,-0.6324,87.194,30.469,92.364,0.0734,287.762,291.549,0.2716,-0.05
-0.49812,-0.6324,87.142,30.46,92.312,0.0745,287.766,291.55,0.2715,-0.05
-0.4909,-0.6324,87.089,30.45,92.259,0.0756,287.771,291.55,0.2713,-0.05
-0.48368,-0.6324,87.036,30.44,92.205,0.0767,287.776,291.551,0.2711,-0.05
-0.47647,-0.6324,86.982,30.429,92.151,0.0778,287.781,291.551,0.271,-0.05
-0.46925,-0.6324,86.928,30.416,92.096,0.079,287.786,291.552,0.2708,-0.05
-0.46203,-0.6324,86.874,30.403,92.041,0.0802,287.791,291.553,0.2706,-0.05
-0.45481,-0.6324,86.819,30.39,91.984,0.0813,287.796,291.553,0.2705,-0.05
-0.44759,-0.6324,86.764,30.375,91.927,0.0825,287.802,291.554,0.2703,-0.05
-0.44037,-0.6324,86.709,30.359,91.87,0.0837,287.807,291.554,0.2701,-0.05
-0.43315,-0.6324,86.653,30.342,91.812,0.0849,287.812,291.555,0.27,-0.05
-0.42593,-0.6324,86.596,30.325,91.753,0.0862,287.818,291.555,0.2698,-0.05
-0.41871,-0.6324,86.54,30.306,91.693,0.0874,287.823,291.556,0.2696,-0.05
-0.41149,-0.6324,86.483,30.287,91.633,0.0886,287.829,291.557,0.2694,-0.04
-0.40427,-0.6324,86.426,30.266,91.572,0.0899,287.834,291.557,0.2692,-0.04
-0.39705,-0.6324,86.368,30.245,91.511,0.0912,287.84,291.558,0.2691,-0.04
-0.38984,-0.6324,86.31,30.222,91.449,0.0925,287.845,291.558,0.2689,-0.04
-0.38262,-0.6324,86.252,30.198,91.386,0.0938,287.851,291.559,0.2687,-0.04
-0.3754,-0.6324,86.194,30.174,91.323,0.0951,287.857,291.56,0.2685,-0.04
-0.36818,-0.6324,86.135,30.148,91.259,0.0964,287.863,291.56,0.2683,-0.04
-0.36096,-0.6324,86.077,30.121,91.195,0.0977,287.868,291.561,0.2681,-0.04
-0.35374,-0.6324,86.018,30.092,91.13,0.0991,287.874,291.562,0.2679,-0.04
-0.34652,-0.6324,85.959,30.063,91.064,0.1004,287.88,291.562,0.2677,-0.04
-0.3393,-0.6324,85.9,30.032,90.998,0.1018,287.886,291.563,0.2675,-0.03
-0.33208,-0.6324,85.84,30.0,90.932,0.1032,287.892,291.563,0.2673,-0.03
-0.32486,-0.6324,85.781,29.967,90.865,0.1046,287.898,291.564,0.2671,-0.03
-0.31764,-0.6324,85.722,29.933,90.797,0.1059,287.904,291.565,0.2669,-0.03
-0.31042,-0.6324,85.662,29.897,90.73,0.1073,287.911,291.565,0.2667,-0.03
-0.30321,-0.6324,85.603,29.86,90.661,0.1088,287.917,291.566,0.2665,-0.03
-0.29599,-0.6324,85.544,29.822,90.593,0.1102,287.923,291.567,0.2663,-0.02
-0.28877,-0.6324,85.485,29.782,90.524,0.1116,287.929,291.567,0.2661,-0.02
-0.28155,-0.6324,85.425,29.741,90.455,0.113,287.935,291.568,0.2659,-0.02
-0.27433,-0.6324,85.367,29.699,90.385,0.1144,287.942,291.569,0.2657,-0.02
-0.26711,-0.6324,85.308,29.655,90.315,0.1159,287.948,291.57,0.2655,-0.02
-0.25989,-0.6324,85.249,29.609,90.245,0.1173,287.954,291.57,0.2653,-0.01
-0.25267,-0.6324,85.191,29.563,90.175,0.1187,287.96,291.571,0.2651,-0.01
-0.24545,-0.6324,85.133,29.515,90.104,0.1202,287.967,291.572,0.2649,-0.01
-0.23823,-0.6324,85.076,29.465,90.034,0.1216,287.973,291.572,0.2647,-0.01
-0.23101,-0.6324,85.019,29.414,89.963,0.1231,287.979,291.573,0.2644,-0.01
-0.22379,-0.6324,84.962,29.362,89.892,0.1245,287.986,291.574,0.2642,-0.0
-0.21658,-0.6324,84.906,29.308,89.822,0.126,287.992,291.574,0.264,-0.0
-0.20936,-0.6324,84.85,29.253,89.751,0.1274,287.998,291.575,0.2638,0.0
-0.20214,-0.6324,84.795,29.196,89.68,0.1288,288.005,291.576,0.2636,0.01
-0.19492,-0.6324,84.74,29.138,89.61,0.1303,288.011,291.576,0.2634,0.01
-0.1877,-0.6324,84.686,29.078,89.54,0.1317,288.017,291.577,0.2632,0.01
-0.18048,-0.6324,84.633,29.017,89.47,0.1331,288.024,291.578,0.263,0.01
-0.17326,-0.6324,84.581,28.955,89.4,0.1345,288.03,291.578,0.2628,0.02
-0.16604,-0.6324,84.529,28.891,89.33,0.1359,288.036,291.579,0.2626,0.02
-0.15882,-0.6324,84.479,28.825,89.261,0.1373,288.042,291.58,0.2624,0.02
-0.1516,-0.6324,84.429,28.758,89.192,0.1387,288.048,291.58,0.2622,0.02
-0.14438,-0.6324,84.38,28.69,89.124,0.1401,288.054,291.581,0.2619,0.03
-0.13716,-0.6324,84.332,28.62,89.056,0.1415,288.06,291.582,0.2617,0.03
-0.12995,-0.6324,84.285,28.549,88.989,0.1428,288.066,291.582,0.2615,0.03
-0.12273,-0.6324,84.24,28.477,88.923,0.1442,288.072,291.583,0.2613,0.04
-0.11551,-0.6324,84.195,28.403,88.857,0.1455,288.078,291.584,0.2612,0.04
-0.10829,-0.6324,84.152,28.328,88.792,0.1468,288.084,291.584,0.261,0.04
-0.10107,-0.6324,84.11,28.251,88.728,0.1481,288.089,291.585,0.2608,0.04
-0.09385,-0.6324,84.069,28.174,88.664,0.1494,288.095,291.585,0.2606,0.05
-0.08663,-0.6324,84.03,28.095,88.602,0.1507,288.1,291.586,0.2604,0.05
-0.07941,-0.6324,83.992,28.014,88.54,0.1519,288.106,291.587,0.2602,0.05
-0.07219,-0.6324,83.955,27.933,88.48,0.1531,288.111,291.587,0.26,0.05
-0.06497,-0.6324,83.92,27.85,88.421,0.1543,288.116,291.588,0.2599,0.06
-0.05775,-0.6324,83.886,27.767,88.363,0.1555,288.122,291.588,0.2597,0.06
-0.05053,-0.6324,83.855,27.682,88.306,0.1566,288.127,291.589,0.2595,0.06
-0.04332,-0.6324,83.824,27.596,88.25,0.1577,288.131,291.589,0.2593,0.06
-0.0361,-0.6324,83.796,27.509,88.196,0.1588,288.136,291.59,0.2592,0.07
-0.02888,-0.6324,83.769,27.422,88.143,0.1599,288.141,291.59,0.259,0.07
-0.02166,-0.6324,83.743,27.333,88.091,0.1609,288.145,291.591,0.2589,0.07
-0.01444,-0.6324,83.72,27.243,88.041,0.1619,288.15,291.591,0.2587,0.07
-0.00722,-0.6324,83.698,27.153,87.993,0.1629,288.154,291.592,0.2586,0.07
0.0,-0.6324,83.678,27.062,87.946,0.1638,288.158,291.592,0.2584,0.07
0.00722,-0.6324,83.661,26.97,87.9,0.1647,288.162,291.593,0.2583,0.08
0.01444,-0.6324,83.645,26.878,87.857,0.1656,288.166,291.593,0.2582,0.08
0.02166,-0.6324,83.63,26.785,87.815,0.1664,288.17,291.593,0.258,0.08
0.02888,-0.6324,83.618,26.691,87.775,0.1672,288.173,291.594,0.2579,0.08
0.0361,-0.6324,83.608,26.597,87.737,0.168,288.176,291.594,0.2578,0.08
0.04332,-0.6324,83.6,26.503,87.701,0.1687,288.18,291.595,0.2577,0.08
0.05053,-0.6324,83.594,26.408,87.666,0.1694,288.183,291.595,0.2576,0.08
0.05775,-0.6324,83.59,26.313,87.634,0.17,288.185,291.595,0.2575,0.08
0.06497,-0.6324,83.588,26.218,87.603,0.1706,288.188,291.595,0.2574,0.08
0.07219,-0.6324,83.588,26.122,87.575,0.1712,288.19,291.596,0.2573,0.08
0.07941,-0.6324,83.59,26.027,87.549,0.1717,288.193,291.596,0.2573,0.08
0.08663,-0.6324,83.595,25.931,87.524,0.1722,288.195,291.596,0.2572,0.08
0.09385,-0.6324,83.601,25.835,87.502,0.1726,288.197,291.596,0.2571,0.08
0.10107,-0.6324,83.61,25.74,87.482,0.173,288.199,291.597,0.2571,0.08
0.10829,-0.6324,83.62,25.645,87.464,0.1734,288.2,291.597,0.257,0.08
0.11551,-0.6324,83.633,25.549,87.448,0.1737,288.202,291.597,0.257,0.08
0.12273,-0.6324,83.647,25.455,87.435,0.174,288.203,291.597,0.2569,0.08
0.12995,-0.6324,83.664,25.36,87.423,0.1742,288.204,291.597,0.2569,0.07
0.13716,-0.6324,83.683,25.266,87.414,0.1744,288.204,291.597,0.2569,0.07
0.14438,-0.6324,83.704,25.173,87.407,0.1745,288.205,291.597,0.2568,0.07
0.1516,-0.6324,83.727,25.08,87.402,0.1746,288.206,291.597,0.2568,0.07
0.15882,-0.6324,83.752,24.987,87.4,0.1747,288.206,291.597,0.2568,0.07
0.16604,-0.6324,83.779,24.896,87.4,0.1747,288.206,291.597,0.2568,0.07
0.17326,-0.6324,83.808,24.805,87.401,0.1746,288.206,291.597,0.2568,0.06
0.18048,-0.6324,83.838,24.715,87.405,0.1746,288.205,291.597,0.2568,0.06
0.1877,-0.6324,83.871,24.625,87.412,0.1744,288.205,291.597,0.2568,0.06
0.19492,-0.6324,83.906,24.537,87.42,0.1743,288.204,291.597,0.2569,0.05
0.20214,-0.6324,83.942,24.45,87.431,0.1741,288.203,291.597,0.2569,0.05
0.20936,-0.6324,83.981,24.363,87.443,0.1738,288.202,291.597,0.2569,0.05
0.21658,-0.6324,84.021,24.278,87.458,0.1735,288.201,291.597,0.257,0.05
0.22379,-0.6324,84.063,24.194,87.475,0.1732,288.199,291.597,0.257,0.04
0.23101,-0.6324,84.106,24.111,87.494,0.1728,288.198,291.596,0.2571,0.04
0.23823,-0.6324,84.151,24.029,87.515,0.1724,288.196,291.596,0.2572,0.04
0.24545,-0.6324,84.198,23.949,87.538,0.1719,288.194,291.596,0.2572,0.03
0.25267,-0.6324,84.246,23.87,87.563,0.1714,288.192,291.596,0.2573,0.03
0.25989,-0.6324,84.296,23.792,87.589,0.1709,288.189,291.596,0.2574,0.02
0.26711,-0.6324,84.347,23.716,87.618,0.1703,288.187,291.595,0.2575,0.02
0.27433,-0.6324,84.4,23.641,87.649,0.1697,288.184,291.595,0.2576,0.02
0.28155,-0.6324,84.454,23.568,87.681,0.1691,288.181,291.595,0.2576,0.01
0.28877,-0.6324,84.509,23.496,87.715,0.1684,288.178,291.594,0.2578,0.01
0.29599,-0.6324,84.566,23.426,87.751,0.1677,288.175,291.594,0.2579,0.01
0.30321,-0.6324,84.624,23.357,87.788,0.1669,288.172,291.594,0.258,0.0
0.31042,-0.6324,84.683,23.29,87.827,0.1662,288.168,291.593,0.2581,-0.0
0.31764,-0.6324,84.743,23.225,87.868,0.1654,288.165,291.593,0.2582,-0.01
0.32486,-0.6324,84.804,23.161,87.91,0.1645,288.161,291.593,0.2583,-0.01
0.33208,-0.6324,84.866,23.099,87.953,0.1637,288.157,291.592,0.2585,-0.02
0.3393,-0.6324,84.928,23.039,87.998,0.1628,288.154,291.592,0.2586,-0.02
0.34652,-0.6324,84.992,22.98,88.044,0.1618,288.149,291.591,0.2587,-0.02
0.35374,-0.6324,85.057,22.924,88.092,0.1609,288.145,291.591,0.2589,-0.03
0.36096,-0.6324,85.122,22.869,88.14,0.1599,288.141,291.59,0.259,-0.03
0.36818,-0.6324,85.188,22.815,88.19,0.1589,288.137,291.59,0.2592,-0.04
0.3754,-0.6324,85.254,22.764,88.241,0.1579,288.132,291.589,0.2593,-0.04
0.38262,-0.6324,85.321,22.714,88.293,0.1569,288.128,291.589,0.2595,-0.04
0.38984,-0.6324,85.389,22.666,88.346,0.1558,288.123,291.588,0.2596,-0.05
0.39705,-0.6324,85.457,22.619,88.399,0.1547,288.118,291.588,0.2598,-0.05
0.40427,-0.6324,85.525,22.575,88.454,0.1536,288.113,291.587,0.26,-0.05
0.41149,-0.6324,85.593,22.532,88.509,0.1525,288.109,291.587,0.2601,-0.06
0.41871,-0.6324,85.662,22.491,88.566,0.1514,288.104,291.586,0.2603,-0.06
0.42593,-0.6324,85.731,22.451,88.622,0.1502,288.099,291.586,0.2605,-0.06
0.43315,-0.6324,85.8,22.414,88.68,0.1491,288.094,291.585,0.2606,-0.07
0.44037,-0.6324,85.87,22.378,88.738,0.1479,288.088,291.585,0.2608,-0.07
0.44759,-0.6324,85.939,22.344,88.796,0.1467,288.083,291.584,0.261,-0.07
0.45481,-0.6324,86.008,22.311,88.855,0.1456,288.078,291.584,0.2611,-0.08
0.46203,-0.6324,86.078,22.28,88.914,0.1444,288.073,291.583,0.2613,-0.08
0.46925,-0.6324,86.147,22.251,88.974,0.1432,288.068,291.582,0.2615,-0.08
0.47647,-0.6324,86.216,22.223,89.034,0.1419,288.062,291.582,0.2617,-0.08
0.48368,-0.6324,86.284,22.197,89.094,0.1407,288.057,291.581,0.2619,-0.09
0.4909,-0.6324,86.353,22.172,89.154,0.1395,288.052,291.581,0.262,-0.09
0.49812,-0.6324,86.421,22.149,89.214,0.1383,288.046,291.58,0.2622,-0.09
0.50534,-0.6324,86.489,22.128,89.275,0.1371,288.041,291.58,0.2624,-0.09
0.51256,-0.6324,86.557,22.108,89.335,0.1358,288.035,291.579,0.2626,-0.1
0.51978,-0.6324,86.624,22.089,89.396,0.1346,288.03,291.578,0.2628,-0.1
0.527,-0.6324,86.691,22.072,89.456,0.1334,288.025,291.578,0.2629,-0.1
0.53422,-0.6324,86.757,22.056,89.517,0.1322,288.019,291.577,0.2631,-0.1
0.54144,-0.6324,86.823,22.041,89.577,0.1309,288.014,291.577,0.2633,-0.1
0.54866,-0.6324,86.888,22.028,89.637,0.1297,288.009,291.576,0.2635,-0.1
0.55588,-0.6324,86.953,22.016,89.696,0.1285,288.003,291.575,0.2637,-0.1
0.5631,-0.6324,87.017,22.005,89.756,0.1273,287.998,291.575,0.2638,-0.1
0.57032,-0.6324,87.08,21.995,89.815,0.1261,287.993,291.574,0.264,-0.1
0.57753,-0.6324,87.143,21.987,89.874,0.1249,287.987,291.574,0.2642,-0.11
0.58475,-0.6324,87.205,21.98,89.933,0.1237,287.982,291.573,0.2644,-0.11
0.59197,-0.6324,87.267,21.973,89.991,0.1225,287.977,291.573,0.2645,-0.11
0.59919,-0.6324,87.328,21.968,90.048,0.1213,287.972,291.572,0.2647,-0.11
0.60641,-0.6324,87.388,21.964,90.106,0.1201,287.967,291.572,0.2649,-0.11
0.61363,-0.6324,87.447,21.961,90.163,0.119,287.962,291.571,0.265,-0.11
0.62085,-0.6324,87.506,21.958,90.219,0.1178,287.956,291.57,0.2652,-0.11
