alpha_deg,Cl_model,Cd_model,f_sep
0.0,0.0,0.0086,1.0
0.25,0.0274,0.0086,0.9987
0.5,0.0547,0.0086,0.9975
0.75,0.0821,0.0087,0.9963
1.0,0.1094,0.0087,0.9951
1.25,0.1366,0.0087,0.9939
1.5,0.1639,0.0088,0.9928
1.75,0.1911,0.0089,0.9917
2.0,0.2183,0.009,0.9906
2.25,0.2455,0.0091,0.9896
2.5,0.2727,0.0092,0.9886
2.75,0.2999,0.0093,0.9877
3.0,0.327,0.0095,0.9868
3.25,0.3542,0.0096,0.9859
3.5,0.3814,0.0098,0.9849
3.75,0.4085,0.01,0.9839
4.0,0.4356,0.0102,0.9827
4.25,0.4626,0.0104,0.9814
4.5,0.4896,0.0106,0.98
4.75,0.5166,0.0108,0.9785
5.0,0.5436,0.0111,0.977
5.25,0.5704,0.0113,0.9753
5.5,0.5973,0.0116,0.9735
5.75,0.6241,0.0119,0.9716
6.0,0.6508,0.0122,0.9696
6.25,0.6774,0.0125,0.9674
6.5,0.704,0.0129,0.965
6.75,0.7304,0.0132,0.9624
7.0,0.7567,0.0136,0.9596
7.25,0.7829,0.014,0.9567
7.5,0.809,0.0144,0.9536
7.75,0.835,0.0148,0.9503
8.0,0.8609,0.0153,0.9469
8.25,0.8866,0.0158,0.9433
8.5,0.9121,0.0162,0.9394
8.75,0.9375,0.0167,0.9353
9.0,0.9626,0.0173,0.9309
9.25,0.9875,0.0178,0.9263
9.5,1.0122,0.0184,0.9214
9.75,1.0366,0.0189,0.9162
10.0,1.0608,0.0195,0.9108
10.25,1.0845,0.0202,0.9047
10.5,1.1076,0.0208,0.8978
10.75,1.1303,0.0215,0.8906
11.0,1.1528,0.0221,0.8833
11.25,1.1754,0.0229,0.8764
11.5,1.1979,0.0236,0.8696
11.75,1.2198,0.0244,0.8622
12.0,1.2408,0.0251,0.8537
12.25,1.2604,0.026,0.8434
12.5,1.2784,0.0268,0.8315
12.75,1.2951,0.0276,0.8183
13.0,1.3109,0.0285,0.8045
13.25,1.3254,0.0294,0.7895
13.5,1.3382,0.0304,0.773
13.75,1.3501,0.0314,0.756
14.0,1.3615,0.0324,0.7392
14.25,1.3729,0.0335,0.723
14.5,1.3839,0.0347,0.7069
14.75,1.394,0.0359,0.6906
15.0,1.4031,0.0371,0.6737
15.25,1.4114,0.0384,0.6567
15.5,1.419,0.0398,0.6396
15.75,1.4248,0.0412,0.6214
16.0,1.4274,0.0427,0.6008
16.25,1.4263,0.0444,0.5777
16.5,1.4211,0.0462,0.5518
16.75,1.4109,0.0483,0.5226
17.0,1.3947,0.0506,0.4898
17.25,1.364,0.0536,0.4469
17.5,1.3177,0.0574,0.3948
17.75,1.2672,0.062,0.3432
18.0,1.2266,0.0668,0.3022
18.25,1.1979,0.0714,0.2717
18.5,1.1723,0.0761,0.2451
18.75,1.1502,0.0809,0.2223
19.0,1.132,0.0858,0.203
19.25,1.116,0.0906,0.1861
19.5,1.1016,0.0956,0.1709
19.75,1.0904,0.1005,0.1582
20.0,1.084,0.1051,0.1484
20.25,0.7147,0.1599,0.02
20.5,0.7233,0.1637,0.02
20.75,0.7319,0.1676,0.02
21.0,0.7405,0.1715,0.02
21.25,0.7491,0.1754,0.02
21.5,0.7577,0.1794,0.02
21.75,0.7663,0.1834,0.02
22.0,0.7748,0.1875,0.02
