alpha_mean_deg,reduced_freq_k,alpha_amp_deg,mach_M,chord_m,steps_per_cycle,n_cycles,peak_alpha_deg,within_calibration,CL_max,CM_min
6.0,0.04,10.0,0.3,0.3,360,3,16.0,True,1.5089,-0.0651
6.0,0.064,10.0,0.3,0.3,360,3,16.0,True,1.5843,-0.0699
6.0,0.088,10.0,0.3,0.3,360,3,16.0,True,1.6159,-0.0844
6.0,0.112,10.0,0.3,0.3,360,3,16.0,True,1.6296,-0.0941
6.0,0.136,10.0,0.3,0.3,360,3,16.0,True,1.6477,-0.1008
6.0,0.16,10.0,0.3,0.3,360,3,16.0,True,1.6748,-0.1061
6.8,0.04,10.0,0.3,0.3,360,3,16.8,True,1.5355,-0.0939
6.8,0.064,10.0,0.3,0.3,360,3,16.8,True,1.6308,-0.0908
6.8,0.088,10.0,0.3,0.3,360,3,16.8,True,1.6828,-0.1017
6.8,0.112,10.0,0.3,0.3,360,3,16.8,True,1.706,-0.1178
6.8,0.136,10.0,0.3,0.3,360,3,16.8,True,1.7304,-0.1295
6.8,0.16,10.0,0.3,0.3,360,3,16.8,True,1.7592,-0.1429
7.6,0.04,10.0,0.3,0.3,360,3,17.6,True,1.5546,-0.1365
7.6,0.064,10.0,0.3,0.3,360,3,17.6,True,1.6688,-0.1255
7.6,0.088,10.0,0.3,0.3,360,3,17.6,True,1.7404,-0.1275
7.6,0.112,10.0,0.3,0.3,360,3,17.6,True,1.7807,-0.1395
7.6,0.136,10.0,0.3,0.3,360,3,17.6,True,1.809,-0.1619
7.6,0.16,10.0,0.3,0.3,360,3,17.6,True,1.8416,-0.1889
8.4,0.04,10.0,0.3,0.3,360,3,18.4,True,1.5751,-0.1731
8.4,0.064,10.0,0.3,0.3,360,3,18.4,True,1.7042,-0.1703
8.4,0.088,10.0,0.3,0.3,360,3,18.4,True,1.7889,-0.1714
8.4,0.112,10.0,0.3,0.3,360,3,18.4,True,1.8468,-0.1836
8.4,0.136,10.0,0.3,0.3,360,3,18.4,True,1.8833,-0.2081
8.4,0.16,10.0,0.3,0.3,360,3,18.4,True,1.9219,-0.2487
9.2,0.04,10.0,0.3,0.3,360,3,19.2,True,1.591,-0.1887
9.2,0.064,10.0,0.3,0.3,360,3,19.2,True,1.7341,-0.1935
9.2,0.088,10.0,0.3,0.3,360,3,19.2,True,1.8328,-0.2045
9.2,0.112,10.0,0.3,0.3,360,3,19.2,True,1.9048,-0.2235
9.2,0.136,10.0,0.3,0.3,360,3,19.2,True,1.9563,-0.2583
9.2,0.16,10.0,0.3,0.3,360,3,19.2,True,1.9988,-0.3158
10.0,0.04,10.0,0.3,0.3,360,3,20.0,True,1.6028,-0.1983
10.0,0.064,10.0,0.3,0.3,360,3,20.0,True,1.7586,-0.2085
10.0,0.088,10.0,0.3,0.3,360,3,20.0,True,1.8707,-0.2265
10.0,0.112,10.0,0.3,0.3,360,3,20.0,True,1.9566,-0.2549
10.0,0.136,10.0,0.3,0.3,360,3,20.0,True,2.0216,-0.3015
10.0,0.16,10.0,0.3,0.3,360,3,20.0,True,2.0714,-0.3588
